graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,crossing_repair,119,0.15078609603243603,0.011384423431049043,71.88985563720296,1.22,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,crossing_repair,159,0.07352412196719656,0.004620945539788564,43.30728173632458,1.66,ok
dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,crossing_repair,144,0.1400064844459878,0.005868285956400458,51.703353032136114,1.01,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,crossing_repair,480,0.17641801750342156,0.012226493912867316,62.23469028262662,3.56,ok
elite,"[""Affiliation"", ""Social"", ""Unweighted""]",44,99,crossing_repair,124,0.1566634006136224,0.009414503669289299,56.31193395795057,1.7,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,crossing_repair,2643,0.15300397801767193,0.00804028388748152,48.23654691381543,5.3,ok
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,crossing_repair,5600,0.15465259086855218,0.008899197036346698,64.14273241745354,7.84,ok
fullerene_structures/C180,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",180,270,crossing_repair,77,0.08760696755168777,0.0004373339367360984,61.0188807047908,3.41,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,crossing_repair,88,0.02995922347345226,0.0012232556595789387,48.66890837751567,8.93,ok
fullerene_structures/C240,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",240,360,crossing_repair,103,0.0770022042511395,0.0003565535485260891,61.09023347017721,6.11,ok
football,"[""Social"", ""Sports"", ""Unweighted""]",115,613,crossing_repair,3855,0.14850764303128286,0.012754489476379234,65.93456092470697,10.38,ok
football_tsevans,"[""Social"", ""Sports"", ""Unweighted""]",115,613,crossing_repair,3855,0.14850764303128286,0.012754489476379234,65.93456092470697,10.53,ok
fullerene_structures/C60,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",60,90,crossing_repair,24,0.14126312741887578,0.001618281538041008,64.06327227727476,0.71,ok
fullerene_structures/C260,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",260,390,crossing_repair,114,0.07179957009202896,0.00036932075838375995,61.02883059437307,6.32,ok
facebook_organizations/S2,"[""Online"", ""Social"", ""Unweighted""]",165,726,crossing_repair,7164,0.08887239519609297,0.004137356378409423,51.56810837859723,14.35,ok
kangaroo,"[""Animal"", ""Social"", ""Weighted""]",17,91,crossing_repair,296,0.3494062822800761,0.05331493771099072,20.794290106997337,0.34,ok
karate/77,"[""Offline"", ""Social"", ""Unweighted""]",34,77,crossing_repair,52,0.11826482563125754,0.005488833175505695,37.51621081562072,0.64,ok
interactome_pdz,"[""Biological"", ""Protein interactions"", ""Unweighted""]",161,209,crossing_repair,52,0.043317637471110795,0.003312364575090841,45.35444400541387,3.27,ok
karate/78,"[""Offline"", ""Social"", ""Unweighted""]",34,78,crossing_repair,58,0.12234689153594833,0.005184356339671358,36.17755714458307,0.71,ok
fullerene_structures/C320,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",320,480,crossing_repair,139,0.06791290938013052,0.0003755854867934453,60.648093387015955,8.53,ok
macaque_neural,"[""Biological"", ""Connectome"", ""Unweighted""]",47,313,crossing_repair,2384,0.17509604807262005,0.0076770270413609515,36.89038481360731,2.15,ok
game_thrones,"[""Fictional"", ""Social"", ""Weighted""]",107,352,crossing_repair,2230,0.09437743238913301,0.0020895630428692277,46.041873861330124,5.85,ok
malaria_genes/HVR_3,"[""Biological"", ""Genetic"", ""Metadata"", ""Multilayer"", ""Projection"", ""Unweighted""]",18,55,crossing_repair,30,0.14304730028832852,0.012647309305695091,12.4689555014034,0.72,ok
lesmis,"[""Fictional"", ""Social"", ""Weighted""]",77,254,crossing_repair,590,0.0773154679489144,0.004014546427160869,45.08269542147689,3.74,ok
marvel_partnerships,"[""Fictional"", ""Social"", ""Unweighted""]",181,224,crossing_repair,6,0.02367823591300152,0.0010203847268357119,48.320390624732056,3.52,ok
montreal,"[""Affiliation"", ""Social"", ""Unweighted""]",29,75,crossing_repair,141,0.18411701896703778,0.013246596905041375,41.80130038505857,0.65,ok
new_guinea_tribes,"[""Offline"", ""Signed"", ""Social""]",16,58,crossing_repair,62,0.15163114000000769,0.025198197857660146,24.132996691702203,0.12,ok
november17,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",22,66,crossing_repair,87,0.19515345926281832,0.013803410011149356,34.467061317924696,0.3,ok
mist/genetic_mouse,"[""Biological"", ""Protein interactions"", ""Unweighted""]",214,252,crossing_repair,2,0.021768067143591138,0.0010840786296921646,50.42391415000353,4.38,ok
mist/ppi_zebrafish,"[""Biological"", ""Protein interactions"", ""Unweighted""]",197,225,crossing_repair,4,0.04450129866861371,0.005093493395226432,34.15063293475195,4.97,ok
london_transport,"[""Multilayer"", ""Public Transport"", ""Transportation"", ""Weighted""]",369,430,crossing_repair,42,0.024579922349752988,0.00016557246859479223,37.29494398839345,10.23,ok
plant_pol_vazquez/All sites pooled,"[""Biological"", ""Food web"", ""Multilayer"", ""Weighted""]",104,164,crossing_repair,163,0.121925215453448,0.013863027616343969,58.22613587062238,2.86,ok
fullerene_structures/C500,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",500,750,crossing_repair,223,0.05037256645148061,0.00017169586421447806,60.43199575245374,15.38,ok
revolution,"[""Affiliation"", ""Social"", ""Unweighted""]",141,160,crossing_repair,4,0.07481020474063982,0.014806927784866744,34.943638752482286,2.41,ok
terrorists_911,"[""Metadata"", ""Offline"", ""Social"", ""Unweighted""]",62,152,crossing_repair,162,0.10698301497728821,0.0022162483641224528,44.30218520253845,1.87,ok
fullerene_structures/C540,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",540,810,crossing_repair,243,0.05020629072005523,0.0001718481337547983,60.43593680784954,16.48,ok
train_terrorists,"[""Offline"", ""Social"", ""Weighted""]",64,243,crossing_repair,814,0.08990646227002412,0.004081827248717165,38.48238119825292,3.98,ok
polbooks,"[""Informational"", ""Metadata"", ""Relatedness"", ""Unweighted""]",105,441,crossing_repair,2018,0.08145880252777753,0.002770123162280299,38.29874819275052,9.07,ok
ugandan_village/friendship-6,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",139,632,crossing_repair,13498,0.1460520353227442,0.0072860674220057145,70.96664707648684,9.68,ok
ugandan_village/friendship-7,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",121,770,crossing_repair,23476,0.19360519646395616,0.013303475406416205,77.76256830628418,9.88,ok
ugandan_village/friendship-1,"[""Multilayer"", ""Offline"", ""Social"", ""Unweighted""]",202,547,crossing_repair,6162,0.121281484885921,0.004763944524765548,72.71756073659826,13.72,ok
