name,safe_name,tags,nodes,edges,initial_crossings
adjnoun,adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,6785
blumenau_drug,blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,657
celegans_interactomes/BPmaps,celegans_interactomes__BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,169
ceo_club,ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,175
cs_department,cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,3039
dolphins,dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,253
dutch_criticism,dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,180
elite,elite,"[""Affiliation"", ""Social"", ""Unweighted""]",44,99,162
facebook_organizations/S2,facebook_organizations__S2,"[""Online"", ""Social"", ""Unweighted""]",165,726,8968
football,football,"[""Social"", ""Sports"", ""Unweighted""]",115,613,5494
football_tsevans,football_tsevans,"[""Social"", ""Sports"", ""Unweighted""]",115,613,5494
fullerene_structures/C180,fullerene_structures__C180,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",180,270,90
fullerene_structures/C240,fullerene_structures__C240,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",240,360,114
fullerene_structures/C260,fullerene_structures__C260,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",260,390,134
fullerene_structures/C320,fullerene_structures__C320,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",320,480,168
fullerene_structures/C500,fullerene_structures__C500,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",500,750,258
fullerene_structures/C540,fullerene_structures__C540,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",540,810,252
fullerene_structures/C60,fullerene_structures__C60,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",60,90,22
game_thrones,game_thrones,"[""Fictional"", ""Social"", ""Weighted""]",107,352,2211
interactome_pdz,interactome_pdz,"[""Biological"", ""Protein interactions"", ""Unweighted""]",161,209,91
kangaroo,kangaroo,"[""Animal"", ""Social"", ""Weighted""]",17,91,478
karate/77,karate__77,"[""Offline"", ""Social"", ""Unweighted""]",34,77,71
